ImageID_stadiumID,x_center,y_center,width,height
earth30_png_stadium_1,0.466346,0.503606,0.259615,0.204327
earth30_png_stadium_2,0.5,0.5,0.5,0.5
stade-ase_png_stadium_1,0.5,0.5,0.5,0.5
stade-ase_png_stadium_2,0.5,0.5,0.5,0.5
earth11_png_stadium_1,0.5,0.5,0.5,0.5
earth11_png_stadium_2,0.5,0.5,1.0,1.0
515071_png_stadium_1,0.777644,0.522837,0.185096,0.209135
515071_png_stadium_2,0.5,0.5,1.0,1.0
51545_png_stadium_1,0.591346,0.1875,0.485577,0.375
51545_png_stadium_2,0.5,0.5,1.0,1.0
51503_png_stadium_1,0.41226,0.25,0.507212,0.403846
51503_png_stadium_2,0.5,0.5,1.0,1.0
17229_png_stadium_1,0.253606,0.520433,0.180288,0.204327
17229_png_stadium_2,0.5,0.5,1.0,1.0
51602_png_stadium_1,0.204327,0.965144,0.0528846,0.0649038
51602_png_stadium_2,0.320913,0.433894,0.137019,0.209135
earth38_png_stadium_1,0.605769,0.248798,0.240385,0.242788
earth38_png_stadium_2,0.5,0.5,1.0,1.0
stade-ayoune_png_stadium_1,0.663462,0.894231,0.153846,0.177885
stade-ayoune_png_stadium_2,0.5,0.5,1.0,1.0
51628_png_stadium_1,0.234375,0.71875,0.108173,0.177885
51628_png_stadium_2,0.5,0.5,1.0,1.0
earth23_png_stadium_1,0.539663,0.433894,0.175481,0.103365
earth23_png_stadium_2,0.5,0.5,1.0,1.0
earth37_png_stadium_1,0.0637019,0.925481,0.127404,0.149038
earth37_png_stadium_2,0.28125,0.825721,0.461538,0.348558
earth17_png_stadium_1,0.914663,0.292067,0.0793269,0.117788
earth17_png_stadium_2,0.753606,0.802885,0.132212,0.129808
earth22_png_stadium_1,0.477163,0.540865,0.497596,0.572115
earth22_png_stadium_2,0.180288,0.536058,0.0913462,0.153846
16972_png_stadium_1,0.507212,0.189904,0.173077,0.125
16972_png_stadium_2,0.5,0.5,1.0,1.0
earth41_png_stadium_1,0.304087,0.399038,0.310096,0.413462
earth41_png_stadium_2,0.5,0.5,1.0,1.0
18262_png_stadium_1,0.0997596,0.0564904,0.185096,0.112981
18262_png_stadium_2,0.5,0.5,1.0,1.0
51606_png_stadium_1,0.1875,0.628606,0.375,0.463942
51606_png_stadium_2,0.5,0.5,1.0,1.0
17744_png_stadium_1,0.435096,0.0372596,0.0961538,0.0649038
17744_png_stadium_2,0.420673,0.0997596,0.0913462,0.0649038
earth20_png_stadium_1,0.514423,0.569712,0.538462,0.5
earth20_png_stadium_2,0.5,0.5,1.0,1.0
earth34_png_stadium_1,0.520433,0.460337,0.507212,0.40625
earth34_png_stadium_2,0.5,0.5,1.0,1.0
51584_png_stadium_1,0.680288,0.828125,0.163462,0.204327
51584_png_stadium_2,0.5,0.5,1.0,1.0
16715_png_stadium_1,0.5,0.5,0.5,0.5
16715_png_stadium_2,0.5,0.5,0.5,0.5
51610_png_stadium_1,0.0805288,0.80649,0.161058,0.185096
51610_png_stadium_2,0.174279,0.620192,0.185096,0.197115
